epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
14,0.999403178691864,0.6226529479026794,0.0017604626482352614,1e-04,0.9395536184310913,0.8821604251861572,0.9988104104995728,0.44216370582580566,0.0043798163533210754,0.8388286232948303,0.7698220014572144
15,0.9992556571960449,0.6048376560211182,0.0021640362683683634,1e-04,0.9209019541740417,0.8452453017234802,0.9993407130241394,0.6724063158035278,0.0017841077642515302,0.9282467365264893,0.8660454750061035
16,0.9994471669197083,0.699575662612915,0.0013329540379345417,1e-04,0.9427561163902283,0.8964437246322632,0.9993385076522827,0.7047929167747498,0.0017287026857957244,0.913841962814331,0.8865968585014343
17,0.9994803071022034,0.7352833151817322,0.001149594085291028,1e-04,0.9480042457580566,0.9034322500228882,0.9993504881858826,0.7318800091743469,0.0016846733633428812,0.9206292629241943,0.8832936882972717
18,0.9994742274284363,0.7488901019096375,0.0011258333688601851,1e-04,0.9481950998306274,0.9004126787185669,0.9993253946304321,0.7403006553649902,0.0017265606438741088,0.9055915474891663,0.895220935344696
19,0.9995205402374268,0.7764993906021118,0.000961609068326652,1e-05,0.9537842869758606,0.9125651121139526,0.9994071125984192,0.7607570886611938,0.0013888494577258825,0.9373193383216858,0.885067343711853
20,0.999546468257904,0.7881949543952942,0.0008860661764629185,1e-05,0.9587793946266174,0.9169591069221497,0.9994131326675415,0.7655505537986755,0.0013879677280783653,0.9396311640739441,0.8844847083091736
21,0.9995587468147278,0.795120358467102,0.0008489677566103637,1e-05,0.9609450101852417,0.9192780256271362,0.9994171261787415,0.7696558833122253,0.0013914136216044426,0.9410032629966736,0.8844418525695801
22,0.9995676875114441,0.8014715909957886,0.0008181542507372797,1e-05,0.9625126123428345,0.9210962057113647,0.9994201064109802,0.7737500071525574,0.001400123699568212,0.9419084787368774,0.8846389651298523
23,0.9995812177658081,0.8070725798606873,0.0007851184345781803,1e-06,0.9652764201164246,0.9224517941474915,0.9994283318519592,0.7778111100196838,0.0013921557692810893,0.9413230419158936,0.8901827335357666
24,0.999584436416626,0.8089160323143005,0.0007755262777209282,1e-06,0.9654111266136169,0.9241045117378235,0.9994299411773682,0.7789317965507507,0.001390382763929665,0.9413716793060303,0.8908296227455139
25,0.999586284160614,0.8101558089256287,0.0007701949798502028,1e-06,0.9656465649604797,0.9244258403778076,0.999431312084198,0.7797711491584778,0.0013913762522861362,0.9415305852890015,0.8911252617835999
26,0.9995882511138916,0.8114284873008728,0.0007640726398676634,1e-07,0.9658322930335999,0.9251801371574402,0.9994311928749084,0.7799493074417114,0.0013926821993663907,0.9408612847328186,0.8921363353729248
27,0.9995882511138916,0.8115423917770386,0.0007633284549228847,1e-07,0.9659485220909119,0.9251264333724976,0.9994313716888428,0.7800827622413635,0.0013918823096901178,0.940991997718811,0.8921191692352295
28,0.9995887875556946,0.8116574883460999,0.0007626804290339351,1e-07,0.9660088419914246,0.9251173138618469,0.9994317889213562,0.7801931500434875,0.0013915009330958128,0.9410384893417358,0.8921148777008057
29,0.9995889663696289,0.8117433190345764,0.0007618746603839099,1e-08,0.9664925336837769,0.9244811534881592,0.9994317889213562,0.780206561088562,0.0013918867334723473,0.9410552382469177,0.8921106457710266
30,0.9995889663696289,0.8117570877075195,0.0007618188974447548,1e-08,0.9664453864097595,0.9245768189430237,0.9994317889213562,0.7802209854125977,0.0013918362092226744,0.9409888386726379,0.8922048807144165
